@relation kd100-weka.filters.unsupervised.attribute.NumericCleaner-min1.0-min-defaultNaN-max1.7976931348623157E308-max-default1.7976931348623157E308-closeto0.0-closeto-default0.0-closeto-tolerance1.0E-6-Rfirst-last-decimals-1

@attribute Geschlecht {w,m}
@attribute Alter {>60,18-30,41-50,51-60,31-40}
@attribute Kinder {nein,ja}
@attribute Familienstand {ledig,Partnerschaft}
@attribute Berufstaetig {nein,ja}
@attribute Einkaufstag {Montag,Samstag,Donnerstag,Mittwoch,Freitag,Dienstag}
@attribute Einkaufsuhrzeit {'<10 Uhr','10-12 Uhr','>17 Uhr','12-14 Uhr','14-17 Uhr'}
@attribute Wohnort {'< 10 km','> 25 km','10 - 25 km'}
@attribute Haushaltsnettoeinkommen {<1000,1000-<2000,3200-<4500,>4500,2000-<3200}
@attribute Einkaufssumme numeric
@attribute Fertiggerichte numeric
@attribute Tiefkuehlware numeric
@attribute Milchprodukte numeric
@attribute Backwaren numeric
@attribute Obst/Gemuese numeric
@attribute Spirituosen numeric
@attribute Tiernahrung numeric
@attribute Bier numeric
@attribute Frischfleisch numeric
@attribute Drogerieartikel numeric
@attribute Konserven numeric
@attribute Kaffee/Tee numeric
@attribute Suessigkeiten numeric
@attribute Wurstwaren numeric
@attribute Schreibwaren numeric

@data
m,18-30,nein,ledig,nein,Samstag,'>17 Uhr','10 - 25 km',1000-<2000,120,9,72,?,6,?,7,14,5,5,?,2,?,?,?,?
m,31-40,ja,ledig,nein,Freitag,'10-12 Uhr','< 10 km',<1000,17,5,?,?,?,?,?,?,?,?,?,12,?,?,?,?
w,31-40,nein,ledig,ja,Donnerstag,'<10 Uhr','< 10 km',2000-<3200,162,?,?,?,?,?,?,72,?,90,?,?,?,?,?,?
m,18-30,nein,Partnerschaft,ja,Donnerstag,'<10 Uhr','< 10 km',2000-<3200,102,7,?,?,?,?,14,?,2,11,?,2,?,66,?,?
w,18-30,ja,Partnerschaft,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,234,?,?,6,54,14,?,?,120,?,?,?,?,?,?,40
w,>60,nein,ledig,nein,Donnerstag,'14-17 Uhr','< 10 km',3200-<4500,284,?,?,?,19,?,1,17,?,?,?,?,163,?,?,84
m,18-30,nein,Partnerschaft,nein,Samstag,'14-17 Uhr','10 - 25 km',>4500,102,10,35,?,20,?,9,?,10,6,?,12,?,?,?,?
m,18-30,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',<1000,45,13,?,?,?,18,9,?,1,?,?,4,?,?,?,?
w,>60,nein,ledig,nein,Samstag,'10-12 Uhr','10 - 25 km',<1000,75,?,15,?,5,?,3,16,?,21,?,?,15,?,?,?
w,>60,nein,ledig,nein,Samstag,'12-14 Uhr','< 10 km',1000-<2000,444,?,?,5,19,48,11,29,248,?,14,?,10,60,?,?
m,>60,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',<1000,34,5,?,?,?,?,?,?,?,?,?,5,?,24,?,?
w,18-30,nein,ledig,nein,Donnerstag,'>17 Uhr','10 - 25 km',>4500,105,?,?,?,?,20,?,?,?,15,?,?,?,70,?,?
w,>60,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',2000-<3200,104,?,?,?,41,30,2,10,?,?,?,?,9,?,?,12
w,>60,nein,ledig,nein,Samstag,'10-12 Uhr','< 10 km',>4500,25,?,?,?,9,?,3,3,?,?,?,?,10,?,?,?
m,>60,ja,ledig,nein,Montag,'10-12 Uhr','10 - 25 km',2000-<3200,279,14,42,?,?,?,?,?,170,?,?,9,?,?,44,?
w,51-60,ja,ledig,ja,Mittwoch,'12-14 Uhr','10 - 25 km',1000-<2000,204,?,70,?,8,?,12,28,?,?,?,?,19,11,?,56
w,18-30,ja,ledig,nein,Montag,'<10 Uhr','10 - 25 km',1000-<2000,175,?,?,?,?,?,?,?,?,?,?,2,45,2,126,?
m,>60,nein,ledig,nein,Samstag,'<10 Uhr','10 - 25 km',1000-<2000,72,12,?,?,?,?,?,?,?,?,?,9,?,51,?,?
w,18-30,ja,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',3200-<4500,97,?,?,?,?,?,?,?,?,?,?,?,?,72,15,10
w,18-30,nein,ledig,ja,Mittwoch,'>17 Uhr','10 - 25 km',3200-<4500,95,?,?,20,?,?,?,?,18,?,18,?,39,?,?,?
w,51-60,nein,ledig,nein,Donnerstag,'>17 Uhr','< 10 km',3200-<4500,171,28,?,?,32,?,13,7,?,?,?,?,79,12,?,?
m,41-50,nein,Partnerschaft,nein,Samstag,'14-17 Uhr','10 - 25 km',3200-<4500,226,4,?,?,?,?,?,90,?,88,?,14,?,30,?,?
w,51-60,ja,ledig,ja,Samstag,'>17 Uhr','10 - 25 km',3200-<4500,149,?,?,?,?,?,1,22,?,126,?,?,?,?,?,?
w,18-30,nein,ledig,ja,Donnerstag,'>17 Uhr','< 10 km',2000-<3200,50,?,?,?,?,?,18,?,?,?,?,?,?,?,32,?
w,18-30,nein,ledig,nein,Freitag,'12-14 Uhr','< 10 km',1000-<2000,209,?,?,?,12,?,?,119,78,?,?,?,?,?,?,?
m,18-30,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',>4500,483,50,?,6,?,?,45,?,129,102,?,1,?,70,?,80
w,41-50,nein,ledig,nein,Freitag,'>17 Uhr','< 10 km',1000-<2000,197,?,21,?,?,?,36,?,27,?,35,?,?,78,?,?
m,18-30,ja,ledig,nein,Samstag,'>17 Uhr','< 10 km',1000-<2000,118,5,50,?,?,?,14,?,2,10,24,13,?,?,?,?
w,18-30,nein,ledig,nein,Montag,'>17 Uhr','> 25 km',<1000,162,?,36,?,12,?,?,18,?,80,?,?,?,16,?,?
m,41-50,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',1000-<2000,172,?,?,?,?,?,?,?,165,?,?,4,?,3,?,?
m,51-60,nein,ledig,ja,Freitag,'<10 Uhr','10 - 25 km',3200-<4500,80,5,?,9,?,?,?,?,51,?,?,9,6,?,?,?
w,18-30,nein,Partnerschaft,ja,Samstag,'>17 Uhr','> 25 km',3200-<4500,116,?,?,?,?,6,?,?,?,?,6,42,?,6,56,?
m,18-30,nein,ledig,nein,Samstag,'14-17 Uhr','< 10 km',<1000,280,13,48,?,9,?,32,?,57,10,?,3,?,?,108,?
w,18-30,ja,ledig,ja,Montag,'14-17 Uhr','10 - 25 km',1000-<2000,39,?,30,?,?,?,?,?,?,?,?,?,?,?,?,9
w,>60,nein,ledig,nein,Samstag,'<10 Uhr','< 10 km',2000-<3200,168,12,?,?,11,?,?,49,?,?,?,?,96,?,?,?
w,18-30,ja,Partnerschaft,nein,Donnerstag,'>17 Uhr','< 10 km',1000-<2000,265,?,?,?,?,4,?,?,?,?,48,?,119,64,?,30
m,18-30,ja,ledig,ja,Samstag,'>17 Uhr','< 10 km',>4500,226,11,?,24,24,?,14,7,16,?,?,?,?,108,?,22
m,>60,nein,ledig,nein,Dienstag,'<10 Uhr','10 - 25 km',<1000,91,35,9,?,?,?,?,?,28,?,15,4,?,?,?,?
w,41-50,nein,ledig,nein,Donnerstag,'<10 Uhr','< 10 km',<1000,82,?,72,10,?,?,?,?,?,?,?,?,?,?,?,?
m,>60,ja,ledig,nein,Donnerstag,'>17 Uhr','< 10 km',<1000,188,12,?,?,7,63,?,?,66,?,?,7,?,?,?,33
m,18-30,nein,Partnerschaft,nein,Samstag,'<10 Uhr','> 25 km',3200-<4500,124,9,?,?,?,?,21,56,17,6,?,2,13,?,?,?
m,>60,nein,ledig,nein,Samstag,'<10 Uhr','10 - 25 km',2000-<3200,14,?,?,?,?,?,?,?,?,?,?,14,?,?,?,?
